NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 0 0 0.18758 0.0753665 0.0123457 0
20 20 0.0526316 0.0526316 0 0 0.0443181 0.0177008 0.00277008 0
30 30 0.0344828 0.0344828 0 0 0.0191836 0.00768367 0.00118906 0
40 40 0.025641 0.025641 0 0 0.0106369 0.00426986 0.000657462 0
50 50 0.0204082 0.0204082 0 0 0.00674689 0.00271259 0.000416493 0
60 60 0.0169492 0.0169492 0 0 0.0046568 0.00187441 0.000287274 0
70 70 0.0144928 0.0144928 0 0 0.0034062 0.00137222 0.00021004 0
80 80 0.0126582 0.0126582 0 0 0.00259913 0.00104779 0.000160231 0
90 90 0.011236 0.011236 0 0 0.00204823 0.000826154 0.000126247 0
100 100 0.010101 0.010101 0 0 0.00165556 0.000668064 0.00010203 0
110 110 0.00917431 0.00917431 0 0 0.00136585 0.000551361 8.4168e-05 0
120 120 0.00840336 0.00840336 0 0 0.00114602 0.000462765 7.06165e-05 0
130 130 0.00775194 0.00775194 0 0 0.000975285 0.000393926 6.00925e-05 0
140 140 0.00719424 0.00719424 0 0 0.000840041 0.000339378 5.17572e-05 0
150 150 0.00671141 0.00671141 0 0 0.000731093 0.000295422 4.5043e-05 0
