NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 9.84546e-13 0 0.00990802 0.00513413 0.0123457 58
20 20 0.0526316 0.0526316 9.69003e-13 0 0.00226586 0.00102552 0.00277008 231
30 30 0.0344828 0.0344828 9.69669e-13 0 0.000975669 0.000424588 0.00118906 514
40 40 0.025641 0.025641 9.94538e-13 0 0.000540039 0.000230665 0.000657462 902
50 50 0.0204082 0.0204082 9.84657e-13 0 0.00034227 0.000144606 0.000416493 1394
60 60 0.0169492 0.0169492 9.97868e-13 0 0.000236139 9.90555e-05 0.000287274 1985
70 70 0.0144928 0.0144928 9.93206e-13 0 0.000172679 7.20701e-05 0.00021004 2676
80 80 0.0126582 0.0126582 9.97202e-13 0 0.000131743 5.47783e-05 0.000160231 3463
90 90 0.011236 0.011236 9.97868e-13 0 0.000103807 4.30377e-05 0.000126247 4346
100 100 0.010101 0.010101 9.99978e-13 0 8.38992e-05 3.47035e-05 0.00010203 5323
110 110 0.00917431 0.00917431 9.99201e-13 0 6.92133e-05 2.85749e-05 8.4168e-05 6394
120 120 0.00840336 0.00840336 9.99867e-13 0 5.80709e-05 2.39372e-05 7.06165e-05 7557
130 130 0.00775194 0.00775194 9.98979e-13 0 4.94174e-05 2.03433e-05 6.00925e-05 8812
140 140 0.00719424 0.00719424 9.99867e-13 0 4.25632e-05 1.75019e-05 5.17572e-05 10157
150 150 0.00671141 0.00671141 9.98313e-13 0 3.7042e-05 1.52167e-05 4.5043e-05 11593
