NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 9.09449e-09 0 0.00990796 0.00513409 0.0123457 133
20 20 0.0526316 0.0526316 9.91436e-09 0 0.00226552 0.00102536 0.00277008 541
30 30 0.0344828 0.0344828 9.95035e-09 0 0.000974838 0.000424223 0.00118906 1190
40 40 0.025641 0.025641 9.9514e-09 0 0.000538522 0.000230015 0.000657462 2062
50 50 0.0204082 0.0204082 9.98073e-09 0 0.000339859 0.000143585 0.000416493 3144
60 60 0.0169492 0.0169492 9.97432e-09 0 0.000232638 9.75843e-05 0.000287274 4428
70 70 0.0144928 0.0144928 9.98695e-09 0 0.000167878 7.00639e-05 0.00021004 5905
80 80 0.0126582 0.0126582 9.99987e-09 0 0.000125436 5.21535e-05 0.000160231 7569
90 90 0.011236 0.011236 9.99325e-09 0 9.58043e-05 3.9717e-05 0.000126247 9416
100 100 0.010101 0.010101 9.99928e-09 0 7.39866e-05 3.06007e-05 0.00010203 11439
110 110 0.00917431 0.00917431 9.99235e-09 0 5.72018e-05 2.36134e-05 8.4168e-05 13636
120 120 0.00840336 0.00840336 9.99306e-09 0 4.37501e-05 1.80316e-05 7.06165e-05 16001
130 130 0.00775194 0.00775194 9.99492e-09 0 3.25826e-05 1.34105e-05 6.00925e-05 18531
140 140 0.00719424 0.00719424 9.99603e-09 0 2.30124e-05 9.46009e-06 5.17572e-05 21223
150 150 0.00671141 0.00671141 9.9965e-09 0 1.45733e-05 5.98412e-06 4.5043e-05 24074
