y u x v Uu Vv y u x v
0 0 0 0 0 0 0 0 0 0
0.0546875 -0.169617 0.0625 0.26766 0.011473 -0.00719 0.0547 -0.18109 0.0625 0.27485
0.0625 -0.189604 0.0703125 0.282763 0.012356 -0.007357 0.0625 -0.20196 0.0703 0.29012
0.0703125 -0.209187 0.078125 0.29601 0.013013 -0.00752 0.0703 -0.2222 0.0781 0.30353
0.101562 -0.283518 0.09375 0.318403 0.013782 -0.007867 0.1016 -0.2973 0.0938 0.32627
0.171875 -0.375318 0.15625 0.36328 0.007572 -0.00767 0.1719 -0.38289 0.1563 0.37095
0.28125 -0.276215 0.226562 0.325807 0.001835 -0.004943 0.2813 -0.27805 0.2266 0.33075
0.453125 -0.106765 0.234375 0.317687 -0.000285 -0.004663 0.4531 -0.10648 0.2344 0.32235
0.5 -0.0617533 0.5 0.0259639 -0.0009533 0.0007039 0.5 -0.0608 0.5 0.02526
0.617188 0.0545301 0.804688 -0.312496 -0.0024899 0.007164 0.6172 0.05702 0.8047 -0.31966
0.734375 0.183094 0.859375 -0.418695 -0.004096 0.007955 0.7344 0.18719 0.8594 -0.42665
0.851562 0.326809 0.90625 -0.51002 -0.006231 0.00548 0.8516 0.33304 0.9063 -0.5155
0.953125 0.456684 0.945312 -0.39027 -0.009356 0.00161 0.9531 0.46604 0.9453 -0.39188
0.960938 0.501245 0.953125 -0.336778 -0.009925 0.000362 0.9609 0.51117 0.9513 -0.33714
0.96875 0.564872 0.960938 -0.27748 -0.010048 -0.00079 0.9688 0.57492 0.9609 -0.27669
0.976562 0.650001 0.96875 -0.215485 -0.009279 -0.001605 0.9766 0.65928 0.9688 -0.21388
1 1 1 0 0 0 1 1 1 0
