NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 0 0 0.124896 0.0899059 0.0123457 0
20 20 0.0526316 0.0526316 0 0 0.0284932 0.0191689 0.00277008 0
30 30 0.0344828 0.0344828 0 0 0.0122642 0.00809045 0.00118906 0
40 40 0.025641 0.025641 0 0 0.00678744 0.00443593 0.000657462 0
50 50 0.0204082 0.0204082 0 0 0.00430154 0.00279597 0.000416493 0
60 60 0.0169492 0.0169492 0 0 0.00296762 0.00192205 0.000287274 0
70 70 0.0144928 0.0144928 0 0 0.00217006 0.00140194 0.00021004 0
80 80 0.0126582 0.0126582 0 0 0.00165559 0.00106757 0.000160231 0
90 90 0.011236 0.011236 0 0 0.00130453 0.00083997 0.000126247 0
100 100 0.010101 0.010101 0 0 0.00105434 0.000678092 0.00010203 0
110 110 0.00917431 0.00917431 0 0 0.000869786 0.000558869 8.4168e-05 0
120 120 0.00840336 0.00840336 0 0 0.000729762 0.000468532 7.06165e-05 0
130 130 0.00775194 0.00775194 0 0 0.000621018 0.000398451 6.00925e-05 0
140 140 0.00719424 0.00719424 0 0 0.000534884 0.000342993 5.17572e-05 0
150 150 0.00671141 0.00671141 0 0 0.000465503 0.000298356 4.5043e-05 0
160 160 0.00628931 0.00628931 0 0 0.000408794 0.000261898 3.95554e-05 0
170 170 0.00591716 0.00591716 0 0 0.00036185 0.000231735 3.50128e-05 0
180 180 0.00558659 0.00558659 0 0 0.000322551 0.000206499 3.121e-05 0
190 190 0.00529101 0.00529101 0 0 0.000289324 0.000185171 2.79947e-05 0
200 200 0.00502513 0.00502513 0 0 0.000260978 0.000166984 2.52519e-05 0
NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 0 0 0.124896 0.0899059 0.0123457 0
20 20 0.0526316 0.0526316 0 0 0.0284932 0.0191689 0.00277008 0
30 30 0.0344828 0.0344828 0 0 0.0122642 0.00809045 0.00118906 0
40 40 0.025641 0.025641 0 0 0.00678744 0.00443593 0.000657462 0
50 50 0.0204082 0.0204082 0 0 0.00430154 0.00279597 0.000416493 0
60 60 0.0169492 0.0169492 0 0 0.00296762 0.00192205 0.000287274 0
70 70 0.0144928 0.0144928 0 0 0.00217006 0.00140194 0.00021004 0
80 80 0.0126582 0.0126582 0 0 0.00165559 0.00106757 0.000160231 0
90 90 0.011236 0.011236 0 0 0.00130453 0.00083997 0.000126247 0
100 100 0.010101 0.010101 0 0 0.00105434 0.000678092 0.00010203 0
110 110 0.00917431 0.00917431 0 0 0.000869786 0.000558869 8.4168e-05 0
120 120 0.00840336 0.00840336 0 0 0.000729762 0.000468532 7.06165e-05 0
130 130 0.00775194 0.00775194 0 0 0.000621018 0.000398451 6.00925e-05 0
140 140 0.00719424 0.00719424 0 0 0.000534884 0.000342993 5.17572e-05 0
150 150 0.00671141 0.00671141 0 0 0.000465503 0.000298356 4.5043e-05 0
160 160 0.00628931 0.00628931 0 0 0.000408794 0.000261898 3.95554e-05 0
170 170 0.00591716 0.00591716 0 0 0.00036185 0.000231735 3.50128e-05 0
180 180 0.00558659 0.00558659 0 0 0.000322551 0.000206499 3.121e-05 0
190 190 0.00529101 0.00529101 0 0 0.000289324 0.000185171 2.79947e-05 0
200 200 0.00502513 0.00502513 0 0 0.000260978 0.000166984 2.52519e-05 0
