NX NY DX DY ResidMax ResidAvg ErrorPsiMax ErrorPsiAvg DX*DX Iterations 
10 10 0.111111 0.111111 9.78955e-11 0 0.00990802 0.00513413 0.0123457 397
20 20 0.0526316 0.0526316 9.93891e-11 0 0.00226586 0.00102552 0.00277008 1632
30 30 0.0344828 0.0344828 9.9782e-11 0 0.000975657 0.000424583 0.00118906 3630
40 40 0.025641 0.025641 9.98447e-11 0 0.000540018 0.000230656 0.000657462 6350
50 50 0.0204082 0.0204082 9.99357e-11 0 0.000342236 0.000144592 0.000416493 9763
60 60 0.0169492 0.0169492 9.99226e-11 0 0.00023609 9.90349e-05 0.000287274 13848
70 70 0.0144928 0.0144928 9.99962e-11 0 0.000172612 7.20421e-05 0.00021004 18586
80 80 0.0126582 0.0126582 9.99694e-11 0 0.000131654 5.47416e-05 0.000160231 23964
90 90 0.011236 0.011236 9.99623e-11 0 0.000103696 4.29913e-05 0.000126247 29968
100 100 0.010101 0.010101 9.99956e-11 0 8.37608e-05 3.46462e-05 0.00010203 36586
110 110 0.00917431 0.00917431 9.99739e-11 0 6.90455e-05 2.85057e-05 8.4168e-05 43810
120 120 0.00840336 0.00840336 9.9979e-11 0 5.78709e-05 2.38548e-05 7.06165e-05 51629
130 130 0.00775194 0.00775194 9.99915e-11 0 4.91823e-05 2.02465e-05 6.00925e-05 60035
140 140 0.00719424 0.00719424 9.99942e-11 0 4.22902e-05 1.73896e-05 5.17572e-05 69021
150 150 0.00671141 0.00671141 9.99896e-11 0 3.67283e-05 1.50878e-05 4.5043e-05 78580
160 160 0.00628931 0.00628931 9.9987e-11 0 3.2172e-05 1.32048e-05 3.95554e-05 88705
170 170 0.00591716 0.00591716 9.99986e-11 0 2.83898e-05 1.16437e-05 3.50128e-05 99389
180 180 0.00558659 0.00558659 9.99966e-11 0 2.52132e-05 1.03339e-05 3.121e-05 110628
190 190 0.00529101 0.00529101 9.99912e-11 0 2.25169e-05 9.2233e-06 2.79947e-05 122416
200 200 0.00502513 0.00502513 9.99931e-11 0 2.02062e-05 8.27235e-06 2.52519e-05 134747
