nx dx dx*dx errorMax errorAbsAvg 
10 0.111111 0.0123457 0.00990087 0.00513019
20 0.0526316 0.00277008 0.00222761 0.00100798
30 0.0344828 0.00118906 0.000883417 0.000384212
40 0.025641 0.000657462 0.000372454 0.000158858
50 0.0204082 0.000416493 7.64238e-05 3.19524e-05
60 0.0169492 0.000287274 0.000150469 6.29492e-05
70 0.0144928 0.00021004 0.000356951 0.000148827
80 0.0126582 0.000160231 0.000562849 0.000233881
90 0.011236 0.000126247 0.000777892 0.000322356
100 0.010101 0.00010203 0.00100713 0.000416431
